14519|200812|CPUPLBPFFMPROV14519|6|5|2009-02-13|ga2pirc||||
14520|200812|CPUPLBPFFMZINSEN14520|7|5|2009-02-13|ga2pirc||||
14521|200812|CPUPLEUREXCUSTODY14521|8|5|2009-02-13|ga2pirc||||
14522|200812|CPUPLKONTONUTZEN14522|9|5|2009-02-13|ga2pirc||||
14523|200812|CPUPLZCBSETFLISTE14523|10|5|2009-02-13|ga2pirc||||
14524|200812|CPUPLZCERISKCOST14524|11|5|2009-02-13|ga2pirc||||
14525|200812|CPUPLZCM14525|12|5|2009-02-13|ga2pirc||||
14526|200812|CPUPLZCMPREMETALS14526|13|5|2009-02-13|ga2pirc||||
14527|200812|CPUPLZFIDIRECTCOST14527|14|5|2009-02-13|ga2pirc||||
14528|200812|CPUPLZFIOPRISK14528|15|5|2009-02-13|ga2pirc||||
14529|200812|CPUPLREZI14529|16|5|2009-02-13|ga2pirc||||
14530|200812|CPUPLSTEP2ZAHLUNG14530|18|5|2009-02-13|ga2pirc||||
14531|200812|CPUPLNOSTROZINSEN14531|19|5|2009-02-13|ga2pirc||||
14532|200812|CPUPLNONSTPZAHLUG14532|20|5|2009-02-13|ga2pirc||||
14533|200812|CPUPLSASVIAACNET14533|21|5|2009-02-13|ga2pirc||||
14633|200812|CPUPLASSETMGMT14633|0|5|2009-02-13|ga2pirc||||
14634|200812|CPUPLAUSLANDFILERTRAG14634|1|5|2009-02-13|ga2pirc||||
14635|200812|CPUPLBANKNOTESERVICE14635|2|5|2009-02-13|ga2pirc||||
14636|200812|CPUPLBOCMLISTE14636|3|5|2009-02-13|ga2pirc||||
14637|200812|CPUPLBONDS14637|4|5|2009-02-13|ga2pirc||||
14638|200812|CPUPLBPCISAL14638|5|5|2009-02-13|ga2pirc||||
14639|200812|CPUPLBPFFMPROV14639|6|5|2009-02-13|ga2pirc||||
14640|200812|CPUPLBPFFMZINSEN14640|7|5|2009-02-13|ga2pirc||||
14641|200812|CPUPLEUREXCUSTODY14641|8|5|2009-02-13|ga2pirc||||
14642|200812|CPUPLKONTONUTZEN14642|9|5|2009-02-13|ga2pirc||||
14643|200812|CPUPLZCBSETFLISTE14643|10|5|2009-02-13|ga2pirc||||
14644|200812|CPUPLZCERISKCOST14644|11|5|2009-02-13|ga2pirc||||
14645|200812|CPUPLZCM14645|12|5|2009-02-13|ga2pirc||||
14646|200812|CPUPLZCMPREMETALS14646|13|5|2009-02-13|ga2pirc||||
14647|200812|CPUPLZFIDIRECTCOST14647|14|5|2009-02-13|ga2pirc||||
14648|200812|CPUPLZFIOPRISK14648|15|5|2009-02-13|ga2pirc||||
14649|200812|CPUPLREZI14649|16|5|2009-02-13|ga2pirc||||
14650|200812|CPUPLSTEP2ZAHLUNG14650|18|5|2009-02-13|ga2pirc||||
14651|200812|CPUPLNOSTROZINSEN14651|19|5|2009-02-13|ga2pirc||||
